Elect.Particip,Old.Pop.,Mid.aged.Pop.,Young.Pop.,Children.Pop.,Highschool.degree,No.school.degree,Registrd.Web.Doms,Business.Regstr.,Income,GDP.growth.2009,GDP.growth.2008,Workforce,X.cars,Agricult..workf.,Prod..workf.,Manufac..Workf.,Constr..workf.,Service.workf.,Trade.workf.,Finance.workf.,Pub..serv..workf.,Bankruptcies,Unemploy.,Unempl..Youth,ranking,Type_Urban,State_Bavaria,State_Berlin,State_Brandenburg,State_Bremen,State_Hamburg,State_Hesse,State_Lower Saxony,State_Mecklenburg-Vorpommern,State_NRW,State_Rhineland-Palatinate,State_Saarland,State_Saxony,State_Saxony-Anhalt,State_Schleswig-Holstein,State_Thuringia,Region_North,Region_South,Region_West
67.4,24.3,29.1,11.7,15.4,41.8,7.2,140.3,104.6,15450.0,-1.2,1.8,907.4,430.3,0.3,14.0,10.8,2.4,85.7,31.1,16.9,37.7,203.6,13.0,12.2,b>a>d>c>e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
71.7,25.5,30.9,10.8,14.5,36.1,7.1,172.9,103.6,15983.0,0.6,5.1,939.9,399.8,0.3,12.5,9.3,2.6,87.1,24.0,19.9,43.3,150.2,10.9,8.5,b>a>d>c>e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
68.3,25.9,26.6,8.8,15.7,27.7,7.7,136.1,94.1,17588.0,-2.0,1.7,876.9,406.3,0.6,18.2,13.6,4.1,81.2,27.2,19.5,34.5,116.2,12.3,12.9,b>a>c>d>e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
65.4,26.2,25.2,8.9,17.8,35.8,5.8,96.1,108.7,16815.0,1.1,-0.2,925.8,468.6,1.2,16.9,11.3,5.1,81.9,33.2,18.6,30.1,131.5,11.3,12.8,b>a>c>d>e,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
71.1,27.4,23.6,7.7,18.3,20.9,7.2,105.1,108.6,17800.0,-2.1,1.8,660.3,512.8,6.6,22.3,14.6,7.0,71.1,28.2,9.6,33.2,86.7,9.7,11.8,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75.6,27.6,25.2,7.2,18.4,20.0,7.6,143.2,94.4,19604.0,-0.6,-3.7,542.5,523.8,4.5,21.0,14.7,5.8,74.5,27.4,12.6,34.5,70.3,6.7,8.0,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
72.3,26.8,25.1,7.8,18.2,18.2,6.4,165.6,129.5,17675.0,0.1,3.3,783.8,530.4,5.4,14.2,5.8,6.7,80.4,34.1,10.2,36.1,76.7,8.0,7.0,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
73.0,28.7,23.4,6.8,15.7,20.3,7.2,131.7,101.3,18516.0,-1.5,1.1,670.8,522.7,3.6,16.6,10.1,5.2,79.8,31.2,11.6,37.0,140.5,8.0,8.6,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75.6,27.8,26.0,7.2,17.6,33.3,5.8,190.5,105.6,20360.0,-0.5,-1.8,614.7,504.3,3.9,24.0,16.9,5.9,72.1,31.2,14.2,26.6,104.8,6.2,7.2,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
77.7,27.9,25.7,6.6,17.0,20.0,7.3,126.2,86.8,18213.0,-0.5,0.0,500.4,508.1,5.1,17.2,9.3,7.7,77.7,26.4,12.9,38.5,50.0,6.8,7.0,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
76.0,28.0,24.7,7.3,18.7,22.1,8.9,136.1,95.6,18849.0,-0.1,6.4,630.5,540.3,4.9,17.6,10.3,6.7,77.5,25.4,14.0,38.1,144.6,6.1,6.6,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74.8,27.5,24.6,7.5,18.9,15.8,8.7,132.5,111.1,17923.0,1.6,4.1,611.1,537.8,6.2,16.9,9.5,7.0,76.9,29.4,11.0,36.5,171.2,9.0,10.0,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
74.3,27.9,26.4,7.4,18.2,26.1,5.4,160.9,115.7,19463.0,-1.9,7.4,677.3,550.5,3.0,24.1,17.7,5.9,72.8,29.6,15.2,28.1,82.3,5.5,6.0,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
72.8,27.8,25.0,7.8,18.2,22.6,7.1,113.8,103.3,17986.0,-0.1,7.0,619.8,516.9,5.0,23.4,15.8,6.3,71.6,23.4,15.4,32.7,136.4,6.1,7.2,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
77.5,28.3,25.2,6.6,18.1,35.9,5.2,180.8,112.8,22312.0,-2.3,6.4,694.9,563.4,2.4,26.0,19.8,6.0,71.6,30.3,16.2,25.1,73.2,4.6,5.6,a>b>c>d>e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
71.3,25.0,32.5,8.3,15.3,44.6,7.9,271.6,115.4,24137.0,-2.1,2.9,932.1,401.6,0.5,14.2,10.6,3.1,85.3,29.4,27.2,28.7,96.5,8.6,8.1,a>b>d>c>e,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
73.7,25.6,29.4,9.1,14.6,42.7,6.6,183.1,79.9,19123.0,-1.7,1.4,930.1,450.4,0.4,18.0,14.0,3.3,81.5,24.3,23.7,33.6,117.8,9.3,7.7,a>b>d>c>e,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70.4,28.2,23.4,8.2,16.8,19.3,7.2,78.4,58.7,16866.0,-12.9,-3.1,886.7,466.1,0.6,45.3,41.6,3.0,54.1,19.5,11.7,22.9,111.4,10.4,9.4,b>a>e>c>d,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
70.6,26.4,26.2,8.2,15.5,36.0,3.5,81.9,64.6,18849.0,-14.9,-1.9,1499.8,887.4,0.4,54.2,51.8,1.9,45.4,13.5,16.3,15.6,82.9,6.6,7.1,a>b>c>d>e,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.6,28.7,25.2,8.1,19.7,21.7,5.8,82.5,63.0,18061.0,-2.0,0.7,466.8,510.9,4.2,21.6,14.7,6.6,74.2,25.5,15.5,33.1,82.3,6.4,8.0,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74.6,27.4,27.9,9.9,15.7,37.8,4.6,135.7,77.4,18027.0,-1.3,-2.4,731.5,465.8,1.9,18.0,13.4,4.3,80.1,23.2,15.0,41.8,69.1,8.6,6.7,b>a>d>c>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.1,28.4,23.3,7.4,14.5,21.8,8.1,103.2,82.0,18188.0,-4.4,0.7,689.7,500.9,1.7,21.2,16.0,4.8,77.1,28.3,11.7,37.1,116.4,10.2,9.7,b>a>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.1,29.3,24.0,7.7,16.3,27.5,3.8,68.1,69.4,18280.0,2.6,11.4,477.1,508.8,3.2,21.8,12.4,5.7,75.0,27.1,8.2,39.6,139.2,9.1,10.3,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.8,28.9,23.3,7.5,16.6,31.0,5.6,88.6,76.1,18206.0,-3.7,2.1,653.9,549.1,5.0,30.4,24.0,5.9,64.6,22.3,9.9,32.4,84.6,8.6,9.4,b>a>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
71.5,28.7,22.2,6.9,15.5,22.8,6.0,84.8,68.2,18164.0,-6.0,-2.5,725.4,542.6,1.9,33.8,27.1,5.5,64.3,25.1,8.7,30.5,101.7,11.2,13.8,b>a>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75.1,27.9,25.3,7.3,18.7,18.5,6.2,93.7,83.6,17895.0,-5.6,0.7,499.6,535.2,2.5,26.0,17.3,6.8,71.5,27.1,12.0,32.3,99.7,7.7,9.2,b>a>c>e>d,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
77.3,28.9,24.3,7.2,17.4,24.6,8.0,92.7,81.9,18118.0,-1.8,0.1,439.0,531.6,4.0,18.7,10.7,7.5,77.2,22.9,12.0,42.3,104.7,7.0,7.1,b>a>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
74.9,27.0,27.8,7.9,16.3,33.4,6.3,164.5,84.8,19079.0,-2.2,5.0,836.0,447.4,0.9,16.9,12.0,4.0,82.1,26.9,21.8,33.5,86.9,9.3,9.0,b>a>d>c>e,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73.7,28.6,25.1,7.4,18.2,23.2,4.5,125.3,109.2,18943.0,-4.7,2.3,652.4,550.8,5.7,23.4,16.4,6.2,71.0,32.0,12.5,26.5,107.2,5.3,6.3,a>b>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.3,27.9,23.4,7.7,16.6,23.6,6.6,103.7,83.4,18137.0,-0.2,9.6,712.0,523.9,2.5,21.5,15.5,5.0,76.0,24.4,16.2,35.4,133.5,9.2,9.1,b>a>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75.2,27.8,24.7,8.2,17.0,31.2,7.8,98.4,86.3,18286.0,-3.5,3.2,654.9,497.1,2.0,26.8,20.4,5.7,71.3,24.2,11.9,35.1,149.4,8.5,9.3,b>a>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
72.8,27.8,22.8,7.7,16.6,19.3,8.6,80.6,64.2,17889.0,-7.5,-0.8,660.0,544.5,2.9,35.8,29.3,6.1,61.3,21.4,9.4,30.5,120.0,9.1,9.4,b>a>c>d>e,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
