Regions;Votes Total;BE;CDS-PP;CDS-PP-MPT;CDS-PP-MPT-PPM;CDS-PP-PPD/PSD;Grupo de cidadaos;MPT;PAN;PCP-PEV;PCTP/MRPP;PND;PNR;PPD/PSD;PPD/PSD-CDS-PP;PPD/PSD-CDS-PP-MPT;PPD/PSD-CDS-PP-MPT-PPM;PPD/PSD-CDS-PP-PPM;PPD/PSD-CDS-PP-PPM-MPT;PPD/PSD-MPT;PPD/PSD-MPT-PPM;PPD/PSD-PPM;PPD/PSD-PPM-MPT;PPM;PPM-PPV;PPM-PPV-PND;PPV;PS;PS-BE-PND-MPT-PTP-PAN;PS-PTP-PND-BE;PTP;Ranking;Residents Total;Residents 0-14;%Residents 0-14;Residents 15-64;%Residents 15-64;Residents 65+;%Residents 65+;Population without Education;%Population without Education;Population with High School;%Population with High School;Companies Created;Average Monthly Income;Employees per Sector Total;Employees per Sector Agriculture;%Employees per Sector Agriculture;Employees per Sector Extraction Industries;%Employees per Sector Extraction Industries;Employees per Sector Transformation Industries;%Employees per Sector Transformation Industries;Employees per Sector Construction;%Employees per Sector Construction;Employees per Sector Gross and Retails Markets;%Employees per Sector Gross and Retails Markets;Employees per Sector Administration and Services;%Employees per Sector Administration and Services;Employees per Economic Sector Banks;%Employees per Economic Sector Banks;Employees per Economic Sector Others;%Employees per Economic Sector Others;Companies Dissolved;Unemployment Total;%Unemployment Total;Unemployment <25;%Unemployment <25
Arcos de Valdevez;13550;0;802;0;0;0;0;0;0;551;0;0;0;9674;0;0;0;0;0;0;0;0;0;0;0;0;0;2523;0;0;0;x;21473;2209;-1;12370;-1;6894;-1;5060;-1;2038;-1;55;666.4;5373;1018;-1;0;-1;1299;-1;735;-1;926;-1;212;-1;58;-1;0;-1;47;787.3;-1;129.6;-1
Caminha;10346;0;139;0;0;0;0;0;0;298;0;0;0;4202;0;0;0;0;0;0;0;0;0;0;0;0;0;5707;0;0;0;x;16038;1816;-1;10257;-1;3965;-1;1641;-1;2284;-1;47;737.5;4021;358;-1;0;-1;426;-1;635;-1;919;-1;317;-1;39;-1;0;-1;33;646.3;-1;71.3;-1
Melgaco;4819;0;0;0;0;0;0;0;0;119;0;0;0;0;1648;0;0;0;0;0;0;0;0;0;0;0;0;3052;0;0;0;x;8479;732;-1;4609;-1;3139;-1;1892;-1;887;-1;13;666;1768;0;-1;0;-1;268;-1;180;-1;284;-1;59;-1;21;-1;0;-1;10;196.8;-1;30;-1
Moncao;11789;0;605;0;0;0;0;0;0;128;0;0;0;5774;0;0;0;0;0;0;0;0;0;0;0;0;0;5282;0;0;0;x;18330;1807;-1;11206;-1;5317;-1;3163;-1;2292;-1;43;655.2;5131;1254;-1;63;-1;849;-1;688;-1;923;-1;238;-1;43;-1;0;-1;34;506.6;-1;60;-1
Paredes de Coura;5353;0;0;0;0;0;0;0;0;262;0;0;0;807;0;0;0;0;0;0;0;0;0;0;0;0;0;4284;0;0;0;x;8773;1034;-1;5282;-1;2457;-1;1690;-1;923;-1;25;639.4;1896;0;-1;0;-1;448;-1;238;-1;300;-1;99;-1;14;-1;0;-1;5;320.3;-1;40.8;-1
Ponte da Barca;8256;0;109;0;0;0;0;0;0;118;0;0;0;4611;0;0;0;0;0;0;0;0;0;0;0;0;0;3418;0;0;0;x;11454;1290;-1;7368;-1;2796;-1;1989;-1;1282;-1;30;677.8;2355;444;-1;9;-1;235;-1;492;-1;386;-1;80;-1;28;-1;0;-1;19;515.1;-1;76.5;-1
Ponte de Lima;27031;0;14606;0;0;0;8616;0;0;779;0;0;0;2888;0;0;0;0;0;0;0;0;0;142;0;0;0;0;0;0;0;x;42286;5694;-1;27746;-1;8847;-1;5406;-1;4399;-1;98;644.2;12405;1484;-1;141;-1;3251;-1;2274;-1;2292;-1;419;-1;62;-1;8;-1;69;1619.2;-1;229.7;-1
Valenca;7593;0;209;0;0;0;0;0;0;254;0;0;0;4517;0;0;0;0;0;0;0;0;0;0;0;0;0;2613;0;0;0;x;13496;1606;-1;8644;-1;3246;-1;1454;-1;1698;-1;73;708.8;3990;216;-1;35;-1;656;-1;246;-1;1443;-1;210;-1;55;-1;0;-1;82;559.3;-1;70.3;-1
Viana do Castelo;44376;2502;0;0;0;0;0;0;0;3812;0;0;0;9991;0;0;0;0;0;0;0;0;0;0;0;0;0;25235;0;0;0;x;85791;10841;-1;56589;-1;18361;-1;7975;-1;11702;-1;208;784.6;26883;1049;-1;72;-1;7755;-1;3912;-1;4895;-1;1679;-1;210;-1;45;-1;155;4014.3;-1;506.9;-1
Vila Nova de Cerveira;5566;0;0;0;0;0;3399;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2072;0;0;0;x;8925;1095;-1;5762;-1;2069;-1;1161;-1;1130;-1;23;776.9;3989;102;-1;0;-1;2203;-1;214;-1;347;-1;167;-1;23;-1;0;-1;46;296.2;-1;42.7;-1
Amares;11194;0;0;0;0;0;1701;0;0;257;0;0;0;0;6845;0;0;0;0;0;0;0;0;0;0;0;0;2391;0;0;0;x;18241;2492;-1;12516;-1;3234;-1;1847;-1;2316;-1;52;654.9;4505;353;-1;0;-1;758;-1;834;-1;937;-1;245;-1;0;-1;14;-1;25;1005.8;-1;157.8;-1
Barcelos;74166;1413;0;0;0;0;13769;0;0;1113;0;0;0;0;25241;0;0;0;0;0;0;0;0;0;0;0;0;31687;0;0;0;x;118144;16349;-1;82777;-1;19019;-1;9333;-1;12261;-1;342;686.8;45907;2037;-1;26;-1;22591;-1;5911;-1;7551;-1;1625;-1;213;-1;19;-1;278;3904.1;-1;656.3;-1
Braga;90174;4565;0;0;0;0;0;0;0;9067;0;0;0;0;0;0;0;49097;0;0;0;0;0;0;0;0;0;26346;0;0;0;x;181342;26966;-1;126706;-1;27671;-1;10441;-1;26282;-1;658;826.4;63768;0;-1;131;-1;13644;-1;8087;-1;12804;-1;4411;-1;566;-1;42;-1;552;9999.2;-1;1083.3;-1
Esposende;19934;0;767;0;0;0;3927;0;0;732;0;0;0;12496;0;0;0;0;0;0;0;0;0;0;0;0;0;2012;0;0;0;x;33994;5090;-1;23435;-1;5469;-1;2736;-1;3881;-1;128;695.4;13675;632;-1;45;-1;3527;-1;4238;-1;1785;-1;759;-1;66;-1;0;-1;85;1255.1;-1;194.7;-1
Terras de Bouro;4910;0;0;0;0;0;1578;0;0;108;0;0;0;1777;0;0;0;0;0;0;0;0;0;0;0;0;0;1447;0;0;0;x;6608;735;-1;4143;-1;1730;-1;1019;-1;769;-1;8;747.3;1428;239;-1;0;-1;80;-1;154;-1;236;-1;72;-1;0;-1;0;-1;6;411.2;-1;52.5;-1
Vila Verde;27898;0;1652;0;0;0;0;0;0;733;0;0;0;15155;0;0;0;0;0;0;0;0;0;0;0;0;0;10358;0;0;0;x;47269;6908;-1;31752;-1;8610;-1;5661;-1;5100;-1;161;675.7;11836;779;-1;0;-1;2700;-1;3000;-1;2296;-1;492;-1;82;-1;24;-1;81;1910.8;-1;322.6;-1
Cabeceiras de Basto;10955;0;0;0;0;0;5153;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5689;0;0;0;x;16064;2265;-1;10783;-1;3017;-1;2282;-1;1620;-1;27;627.5;3461;409;-1;0;-1;637;-1;724;-1;706;-1;164;-1;21;-1;0;-1;22;1137.7;-1;205.3;-1
Fafe;31097;549;0;0;0;0;11841;0;0;762;0;0;0;0;5925;0;0;0;0;0;0;0;0;0;0;0;0;12020;0;0;0;x;49129;6487;-1;33794;-1;8848;-1;4981;-1;4792;-1;150;621.6;14911;273;-1;0;-1;6462;-1;1775;-1;2613;-1;729;-1;76;-1;0;-1;125;2792.8;-1;466.8;-1
Guimaraes;93308;2320;0;0;0;0;0;0;0;4997;0;0;0;0;0;0;0;0;36452;0;0;0;0;0;0;0;0;49539;0;0;0;x;154458;20891;-1;108836;-1;24732;-1;12043;-1;17593;-1;488;705.6;63915;703;-1;153;-1;34083;-1;3568;-1;11107;-1;2133;-1;307;-1;0;-1;337;8958;-1;1168.6;-1
Mondim de Basto;4590;0;1102;0;0;0;0;0;0;132;0;0;0;601;0;0;0;0;0;0;0;0;0;0;0;0;0;2755;0;0;0;x;7120;825;-1;4761;-1;1534;-1;1246;-1;648;-1;7;620.6;1580;262;-1;77;-1;166;-1;142;-1;372;-1;246;-1;13;-1;0;-1;16;477.8;-1;85.8;-1
Povoa de Lanhoso;14799;0;0;0;0;0;1606;0;0;131;0;0;0;6607;0;0;0;0;0;0;0;0;0;0;0;0;0;6455;0;0;0;x;21606;2953;-1;14753;-1;3900;-1;2692;-1;2092;-1;65;638.8;6040;262;-1;0;-1;1991;-1;734;-1;917;-1;650;-1;35;-1;0;-1;26;1099.1;-1;162.8;-1
Vieira do Minho;8981;0;0;0;0;0;0;0;0;191;0;0;0;0;5858;0;0;0;0;0;0;0;0;0;0;0;0;2932;0;0;0;x;12213;1398;-1;8002;-1;2814;-1;1804;-1;1334;-1;17;705.4;2035;0;-1;0;-1;194;-1;356;-1;456;-1;123;-1;21;-1;0;-1;23;871.8;-1;112;-1
