Votes Total,Residents Total,Residents 0-14,Residents 15-64,Residents 65+,Population without Education,Population with High School,Companies Created,Average Monthly Income,Employees per Sector Total,Employees per Sector Agriculture,Employees per Sector Extraction Industries,Employees per Sector Transformation Industries,Employees per Sector Construction,Employees per Sector Gross and Retails Markets,Employees per Sector Administration and Services,Employees per Economic Sector Banks,Employees per Economic Sector Others,Companies Dissolved,Unemployment Total,Unemployment <25,ranking
13550,21473,2209,12370,6894,5060,2038,55,666.4,5373,1018,0,1299,735,926,212,58,0,47,787.3,129.6,d>e>b>c>a
10346,16038,1816,10257,3965,1641,2284,47,737.5,4021,358,0,426,635,919,317,39,0,33,646.3,71.3,e>d>c>b>a
4819,8479,732,4609,3139,1892,887,13,666.0,1768,0,0,268,180,284,59,21,0,10,196.8,30.0,e>c>d>b>a
11789,18330,1807,11206,5317,3163,2292,43,655.2,5131,1254,63,849,688,923,238,43,0,34,506.6,60.0,d>e>b>c>a
5353,8773,1034,5282,2457,1690,923,25,639.4,1896,0,0,448,238,300,99,14,0,5,320.3,40.8,e>d>c>b>a
8256,11454,1290,7368,2796,1989,1282,30,677.8,2355,444,9,235,492,386,80,28,0,19,515.1,76.5,d>e>c>b>a
27031,42286,5694,27746,8847,5406,4399,98,644.2,12405,1484,141,3251,2274,2292,419,62,8,69,1619.2,229.7,b>d>c>e>a
7593,13496,1606,8644,3246,1454,1698,73,708.8,3990,216,35,656,246,1443,210,55,0,82,559.3,70.3,d>e>c>b>a
44376,85791,10841,56589,18361,7975,11702,208,784.6,26883,1049,72,7755,3912,4895,1679,210,45,155,4014.3,506.9,e>d>c>a>b
5566,8925,1095,5762,2069,1161,1130,23,776.9,3989,102,0,2203,214,347,167,23,0,46,296.2,42.7,e>c>d>b>a
11194,18241,2492,12516,3234,1847,2316,52,654.9,4505,353,0,758,834,937,245,0,14,25,1005.8,157.8,e>c>d>b>a
74166,118144,16349,82777,19019,9333,12261,342,686.8,45907,2037,26,22591,5911,7551,1625,213,19,278,3904.1,656.3,e>b>c>a>d
90174,181342,26966,126706,27671,10441,26282,658,826.4,63768,0,131,13644,8087,12804,4411,566,42,552,9999.2,1083.3,e>b>d>a>c
19934,33994,5090,23435,5469,2736,3881,128,695.4,13675,632,45,3527,4238,1785,759,66,0,85,1255.1,194.7,d>e>b>c>a
4910,6608,735,4143,1730,1019,769,8,747.3,1428,239,0,80,154,236,72,0,0,6,411.2,52.5,d>e>c>b>a
27898,47269,6908,31752,8610,5661,5100,161,675.7,11836,779,0,2700,3000,2296,492,82,24,81,1910.8,322.6,d>e>b>c>a
10955,16064,2265,10783,3017,2282,1620,27,627.5,3461,409,0,637,724,706,164,21,0,22,1137.7,205.3,e>c>d>b>a
31097,49129,6487,33794,8848,4981,4792,150,621.6,14911,273,0,6462,1775,2613,729,76,0,125,2792.8,466.8,e>b>d>a>c
93308,154458,20891,108836,24732,12043,17593,488,705.6,63915,703,153,34083,3568,11107,2133,307,0,337,8958.0,1168.6,e>b>d>a>c
4590,7120,825,4761,1534,1246,648,7,620.6,1580,262,77,166,142,372,246,13,0,16,477.8,85.8,e>c>b>d>a
14799,21606,2953,14753,3900,2692,2092,65,638.8,6040,262,0,1991,734,917,650,35,0,26,1099.1,162.8,d>e>c>b>a
8981,12213,1398,8002,2814,1804,1334,17,705.4,2035,0,0,194,356,456,123,21,0,23,871.8,112.0,e>c>d>b>a
73412,132683,18368,92787,21528,9573,15972,399,774.5,51745,842,19,25361,4098,9121,2228,284,38,300,6056.8,803.8,e>b>d>a>c
13962,23771,3266,17291,3215,1947,2355,81,623.2,8856,47,0,5559,336,1208,327,63,0,54,1112.8,157.1,e>b>d>a>c
14471,21302,2926,14193,4184,2537,1943,41,655.4,6917,921,21,2181,1254,1046,291,31,0,22,692.1,116.8,e>c>d>b>a
17447,29634,3450,19030,7155,2719,3867,90,762.0,7958,42,0,1583,354,1643,583,98,0,60,2636.5,327.5,d>e>c>b>a
77851,166041,22580,113630,29832,11149,23336,339,749.9,32395,465,0,6799,2333,8915,2993,225,0,372,12610.3,1558.7,e>b>d>a>c
60122,135845,20799,92885,22161,6634,20416,498,975.6,60350,476,14,13109,3833,12902,11363,399,0,570,8192.4,786.1,c>b>d>a>e
75178,173395,23409,116322,33665,11185,24602,676,951.8,86633,900,0,8672,3504,37884,10765,396,5,828,10523.0,972.3,e>d>c>a>b
34096,66737,8024,45405,13308,5420,7358,177,805.1,27926,493,41,16551,1312,3367,1993,131,19,99,2013.5,293.9,e>d>a>c>b
49605,86409,13668,61030,11711,6763,8205,215,678.7,23394,0,0,10109,2192,4846,1044,161,19,207,6062.0,928.3,e>d>b>c>a
111634,214349,26566,128687,59097,13814,32936,1757,1089.2,119901,1222,16,8627,5609,24889,15442,4560,10,1604,19406.5,1860.3,e>b>d>a>c
28535,62433,9329,42491,10613,4357,7441,209,734.6,19908,0,0,4082,1727,4521,986,137,46,186,3411.6,466.2,d>e>a>c>b
68217,139173,19129,96054,23990,10799,15581,428,812.1,45922,372,0,20912,3653,8722,2956,258,14,378,6895.9,864.2,d>e>a>c>b
40142,69270,8115,47089,14067,5920,7599,156,723.1,21973,0,0,11280,1117,4019,1180,166,0,170,4472.8,551.1,e>c>d>b>a
10645,21455,2814,14737,3904,1285,3037,80,802.1,13325,31,0,7822,168,2159,643,144,0,77,948.4,101.3,e>b>d>a>c
20894,38237,5177,26833,6227,2644,4714,109,814.4,16894,0,0,7222,1263,3369,1077,73,0,136,2405.9,348.5,e>c>d>b>a
13493,21794,2494,14177,5123,2458,2505,46,872.1,8455,387,0,4931,436,1091,233,51,0,44,655.8,77.9,c>d>b>e>a
41869,95300,14392,65352,15557,5562,12981,218,761.1,23896,384,80,4884,4126,5176,2238,171,0,215,7048.3,842.7,e>b>d>a>c
42969,79363,11755,53805,13803,5488,9091,281,831.8,26111,0,0,7896,2555,5766,919,125,19,219,3744.1,495.3,e>b>d>a>c
131456,300587,42470,204332,53785,18851,41476,946,874.4,77413,1015,23,20431,5525,15988,6556,487,29,902,25545.7,2879.8,e>b>c>a>d
3902,5263,485,3091,1687,1269,475,10,636.0,1065,340,42,156,128,165,39,0,0,6,262.2,29.3,d>e>c>b>a
23676,39910,4332,25101,10478,4900,5326,81,712.5,8902,1138,69,1016,815,2215,312,115,8,73,2333.0,295.5,e>d>c>b>a
7290,9439,749,5442,3248,2193,951,11,659.3,2094,795,0,178,237,302,59,21,0,17,426.9,65.3,e>c>d>b>a
5161,6183,709,3842,1633,1468,499,15,688.9,1177,291,0,90,329,136,36,0,0,10,447.8,55.7,e>d>b>c>a
10127,15478,1403,8771,5304,3478,1332,21,639.6,4391,2288,48,232,532,573,134,33,8,19,790.3,115.3,d>e>b>c>a
8890,12328,1172,7591,3565,2074,1195,25,669.4,3037,590,183,635,334,488,103,30,0,16,706.3,100.3,d>e>b>c>a
31345,54190,7325,37449,9417,6125,5745,133,723.9,16307,766,20,3329,5738,2578,710,92,0,121,3552.7,535.8,e>b>c>a>d
10828,19372,2441,13027,3904,3429,1634,42,615.9,3241,439,0,442,1086,533,111,14,0,55,1683.6,248.8,e>c>d>b>a
10211,15889,2201,10925,2763,1466,1454,23,625.0,3547,210,0,1257,623,598,107,17,0,21,1141.8,206.1,e>c>d>b>a
11720,19413,2450,13126,3838,2727,1947,32,667.1,3891,511,0,927,497,633,452,16,0,31,1101.8,135.7,d>e>b>c>a
10871,19010,2545,12264,4201,3155,1524,54,621.5,3365,488,0,327,1062,546,249,18,0,21,1816.3,228.8,e>c>d>b>a
33265,57098,8043,40969,8087,5231,5717,178,620.9,29909,690,0,20243,1736,3672,687,121,24,134,2148.7,327.2,d>c>e>b>a
28069,46988,7230,33893,5866,4033,3904,136,605.5,16482,354,0,7875,2829,2791,425,48,0,119,2409.3,333.3,e>b>d>a>c
28991,52295,7772,36838,7686,5107,4755,123,691.4,15244,328,602,3465,5258,2644,458,77,0,159,3937.4,672.4,e>d>b>c>a
31616,56931,8699,40899,7334,4417,4516,186,612.7,20841,152,65,12074,864,3608,618,94,6,134,3629.3,491.8,e>d>c>b>a
43980,70546,10648,49620,10279,6801,7240,174,704.4,21602,623,212,6621,5476,3746,624,88,49,170,4576.1,739.5,e>b>d>a>c
7604,10539,1343,6828,2368,2047,961,11,646.8,2141,867,0,132,302,422,55,15,0,17,817.9,140.4,e>d>b>c>a
7600,11013,1169,6520,3325,1868,1082,24,737.9,3499,1849,0,390,0,395,115,14,11,11,633.8,84.5,e>b>c>a>d
3936,5908,614,3713,1582,875,611,3,654.9,2290,826,0,221,105,769,41,0,0,11,386.8,68.5,c>e>b>d>a
4079,5840,590,3260,1990,1195,533,8,643.8,1494,758,0,133,81,230,40,0,0,6,319.5,53.6,c>e>d>b>a
2442,3451,377,2016,1058,759,279,3,611.7,896,412,0,68,180,72,13,0,0,1,228.1,36.9,d>e>c>b>a
15296,25350,2993,16951,5407,3373,3060,40,704.4,5871,1346,0,611,815,1255,361,46,18,46,2532.2,325.6,e>d>b>a>c
2668,4080,494,2705,881,687,444,7,638.0,911,467,0,44,83,136,50,0,0,5,384.8,48.0,e>d>a>b>c
5828,9825,1201,6225,2400,1412,1084,14,651.0,2497,720,0,291,193,690,49,18,8,16,692.8,113.1,e>d>c>b>a
4102,5596,640,3352,1604,1058,520,6,634.9,1578,874,0,133,0,165,32,0,0,5,385.8,45.8,d>e>b>c>a
1839,2710,294,1694,722,489,283,6,632.1,821,467,0,30,78,114,14,0,0,4,135.4,29.8,d>e>c>b>a
9452,16131,1891,10794,3447,2184,1961,28,764.9,4433,1611,0,386,592,785,123,38,0,25,1340.3,205.1,d>e>c>b>a
4053,5990,677,3705,1609,1048,567,9,868.2,1600,808,0,207,140,157,37,0,0,14,367.8,43.8,e>d>c>b>a
4783,6806,708,4309,1789,1406,633,10,659.2,2164,1405,0,124,0,238,24,0,7,13,515.3,70.0,e>d>b>c>a
4691,7320,861,4774,1686,1236,671,10,711.2,2399,1490,0,205,104,259,99,0,20,5,373.1,63.5,c>e>d>b>a
3814,5461,567,3464,1430,854,618,12,615.9,1479,518,28,240,157,283,27,0,0,3,276.6,51.2,d>e>b>c>a
3821,6110,580,4025,1505,964,610,9,724.5,1311,0,0,95,131,171,90,0,24,10,520.2,91.2,e>c>d>b>a
